nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
13119,A,Beaubien,AB-AC-AD-AE,-73.607729157224597000,45.530903316383686000,Régulier Payez-Partez
13120,A,Beaubien,AB-AC-AD-AE,-73.607531951436570000,45.531376006638851000,Régulier Payez-Partez
13121,A,Beaubien,AB-AC-AD-AE,-73.606879856955246000,45.531810304552145000,Régulier Payez-Partez
13122,A,Beaubien,AB-AC-AD-AE,-73.606625770474579000,45.532341179277083000,Régulier Payez-Partez
13123,A,Beaubien,AB-AC-AD-AE,-73.606027593692900000,45.532740263252826000,Régulier Payez-Partez
13124,A,Beaubien,AB-AC-AD-AE,-73.605559451155159000,45.533299543126468000,Régulier Payez-Partez
13125,A,Beaubien,AB-AC-AD-AE,-73.605213924028121000,45.533911518540208000,Régulier Payez-Partez
13126,A,Centre,AB-AC-AD-AE,-73.569363036815503000,45.478549488155153000,Régulier Payez-Partez
13127,A,Centre,AB-AC-AD-AE,-73.568622354474329000,45.478992845003553000,Régulier Payez-Partez
13128,A,Centre,AB-AC-AD-AE,-73.568645329785966000,45.478806763613520000,Régulier Payez-Partez
13129,A,Saint-Patrick,AB-AC-AD-AE,-73.561679474118279000,45.486355135573461000,Régulier Payez-Partez
13130,A,Saint-Patrick,AB-AC-AD-AE,-73.561692981133291000,45.486109412700742000,Régulier Payez-Partez
13131,A,Saint-Patrick,AB-AC-AD-AE,-73.563129887782864000,45.485267198378374000,Régulier Payez-Partez
13132,A,Sherbrooke,E-G-PA-R,-73.573060318039566000,45.505631110303788000,Régulier Payez-Partez
13133,A,Verdun (Ver),AB-AC-AD-AE,-73.572516484343637000,45.451441594948619000,Régulier Payez-Partez
13134,A,Verdun (Ver),AB-AC-AD-AE,-73.572710576461461000,45.449283571018093000,Régulier Payez-Partez
13137,A,Saint-André,AB-AC-AD-AE,-73.604822272001016000,45.537407884135391000,Régulier Payez-Partez
13138,A,Inconnue,AB-AC-AD-AE,-73.761623553692232000,45.511276541307033000,Régulier Payez-Partez
13139,A,Inconnue,AB-AC-AD-AE,-73.761635156576574000,45.511264558841951000,Régulier Payez-Partez
13140,A,Inconnue,AB-AC-AD-AE,-73.761644862598317000,45.511254535289460000,Régulier Payez-Partez
13141,A,Inconnue,AB-AC-AD-AE,-73.761577006218033000,45.511283341478155000,Régulier Payez-Partez
13142,A,Inconnue,AB-AC-AD-AE,-73.761585023477139000,45.511275061951693000,Régulier Payez-Partez
13143,A,Inconnue,AB-AC-AD-AE,-73.761595766600649000,45.511263967385254000,Régulier Payez-Partez
13144,A,Inconnue,AB-AC-AD-AE,-73.761608433860275000,45.511250885731101000,Régulier Payez-Partez
13145,A,Inconnue,AB-AC-AD-AE,-73.761618375249839000,45.511240619114623000,Régulier Payez-Partez
13146,A,Inconnue,AB-AC-AD-AE,-73.761549898008454000,45.511271262201269000,Régulier Payez-Partez
13147,A,Inconnue,AB-AC-AD-AE,-73.761558789211392000,45.511262080146238000,Régulier Payez-Partez
13148,A,Inconnue,AB-AC-AD-AE,-73.761567680411446000,45.511252898090497000,Régulier Payez-Partez
13149,A,Inconnue,AB-AC-AD-AE,-73.761576571608487000,45.511243716034045000,Régulier Payez-Partez
13150,A,Inconnue,AB-AC-AD-AE,-73.761585462802770000,45.511234533976918000,Régulier Payez-Partez
13151,A,Inconnue,AB-AC-AD-AE,-73.761517267809609000,45.511255642945521000,Régulier Payez-Partez
13152,A,Inconnue,AB-AC-AD-AE,-73.761526159015432000,45.511246460893013000,Régulier Payez-Partez
13153,A,Inconnue,AB-AC-AD-AE,-73.761535050218342000,45.511237278839772000,Régulier Payez-Partez
13154,A,Inconnue,AB-AC-AD-AE,-73.761543941418381000,45.511228096785835000,Régulier Payez-Partez
13155,A,Inconnue,AB-AC-AD-AE,-73.761552832615521000,45.511218914731209000,Régulier Payez-Partez
13156,A,Inconnue,AB-AC-AD-AE,-73.761477963771398000,45.511237668946485000,Régulier Payez-Partez
13157,A,Inconnue,AB-AC-AD-AE,-73.761487688531460000,45.511227626078998000,Régulier Payez-Partez
13158,A,Inconnue,AB-AC-AD-AE,-73.761497413288069000,45.511217583211597000,Régulier Payez-Partez
